Name,Type,HP,Attack,Defense,Speed,Sp. Atk
Psyduck,Water,50,52,48,55,65
Golduck,Water,80,82,78,85,95
Mankey,Fighting,40,80,35,70,35
Primeape,Fighting,65,105,60,95,60
Growlithe,Fire,55,70,45,60,70
Arcanine,Fire,90,110,80,95,100
Poliwag,Water,40,50,40,90,40
Poliwhirl,Water,65,65,65,90,50
Poliwrath,Water,90,95,95,70,70
Abra,Psychic,25,20,15,90,105
Kadabra,Psychic,40,35,30,105,120
Alakazam,Psychic,55,50,45,120,135
AlakazamMega Alakazam,Psychic,55,50,65,150,175
Machop,Fighting,70,80,50,35,35
Machoke,Fighting,80,100,70,45,50
Machamp,Fighting,90,130,80,55,65
Bellsprout,Grass,50,75,35,40,70
Weepinbell,Grass,65,90,50,55,85
Victreebel,Grass,80,105,65,70,100
Tentacool,Water,40,40,35,70,50
Tentacruel,Water,80,70,65,100,80
Geodude,Rock,40,80,100,20,30
Graveler,Rock,55,95,115,35,45
Golem,Rock,80,120,130,45,55
Ponyta,Fire,50,85,55,90,65
Rapidash,Fire,65,100,70,105,80
Slowpoke,Water,90,65,65,15,40
Slowbro,Water,95,75,110,30,100
SlowbroMega Slowbro,Water,95,75,180,30,130
Magnemite,Electric,25,35,70,45,95
Magneton,Electric,50,60,95,70,120
Farfetch'd,Normal,52,65,55,60,58
Doduo,Normal,35,85,45,75,35
Dodrio,Normal,60,110,70,100,60
Seel,Water,65,45,55,45,45
Dewgong,Water,90,70,80,70,70
Grimer,Poison,80,80,50,25,40
Muk,Poison,105,105,75,50,65
Shellder,Water,30,65,100,40,45
Cloyster,Water,50,95,180,70,85
Gastly,Ghost,30,35,30,80,100
Haunter,Ghost,45,50,45,95,115
Gengar,Ghost,60,65,60,110,130
GengarMega Gengar,Ghost,60,65,80,130,170
Onix,Rock,35,45,160,70,30
Drowzee,Psychic,60,48,45,42,43
Hypno,Psychic,85,73,70,67,73
Krabby,Water,30,105,90,50,25
Kingler,Water,55,130,115,75,50
Voltorb,Electric,40,30,50,100,55
Electrode,Electric,60,50,70,140,80
Exeggcute,Grass,60,40,80,40,60
Exeggutor,Grass,95,95,85,55,125
Cubone,Ground,50,50,95,35,40
Marowak,Ground,60,80,110,45,50
Hitmonlee,Fighting,50,120,53,87,35
Hitmonchan,Fighting,50,105,79,76,35
Lickitung,Normal,90,55,75,30,60
Koffing,Poison,40,65,95,35,60
Weezing,Poison,65,90,120,60,85
Rhyhorn,Ground,80,85,95,25,30
Rhydon,Ground,105,130,120,40,45
Chansey,Normal,250,5,5,50,35
Tangela,Grass,65,55,115,60,100
Kangaskhan,Normal,105,95,80,90,40
KangaskhanMega Kangaskhan,Normal,105,125,100,100,60
Horsea,Water,30,40,70,60,70
Seadra,Water,55,65,95,85,95
Goldeen,Water,45,67,60,63,35
Seaking,Water,80,92,65,68,65
Staryu,Water,30,45,55,85,70
Starmie,Water,60,75,85,115,100
Mr. Mime,Psychic,40,45,65,90,100
Scyther,Bug,70,110,80,105,55
Jynx,Ice,65,50,35,95,115
Electabuzz,Electric,65,83,57,105,95
Magmar,Fire,65,95,57,93,100
Pinsir,Bug,65,125,100,85,55
PinsirMega Pinsir,Bug,65,155,120,105,65
Tauros,Normal,75,100,95,110,40
Magikarp,Water,20,10,55,80,15
Gyarados,Water,95,125,79,81,60
GyaradosMega Gyarados,Water,95,155,109,81,70
Lapras,Water,130,85,80,60,85
Ditto,Normal,48,48,48,48,48
Eevee,Normal,55,55,50,55,45
Vaporeon,Water,130,65,60,65,110
Jolteon,Electric,65,65,60,130,110
Flareon,Fire,65,130,60,65,95
Porygon,Normal,65,60,70,40,85
Omanyte,Rock,35,40,100,35,90
Omastar,Rock,70,60,125,55,115
Kabuto,Rock,30,80,90,55,55
Kabutops,Rock,60,115,105,80,65
Aerodactyl,Rock,80,105,65,130,60
AerodactylMega Aerodactyl,Rock,80,135,85,150,70
Snorlax,Normal,160,110,65,30,65
Articuno,Ice,90,85,100,85,95
Zapdos,Electric,90,90,85,100,125
Moltres,Fire,90,100,90,90,125
Dratini,Dragon,41,64,45,50,50
Dragonair,Dragon,61,84,65,70,70
Dragonite,Dragon,91,134,95,80,100
Mewtwo,Psychic,106,110,90,130,154
MewtwoMega Mewtwo X,Psychic,106,190,100,130,154
MewtwoMega Mewtwo Y,Psychic,106,150,70,140,194
Mew,Psychic,100,100,100,100,100
Chikorita,Grass,45,49,65,45,49
Bayleef,Grass,60,62,80,60,63
Meganium,Grass,80,82,100,80,83
Cyndaquil,Fire,39,52,43,65,60
Quilava,Fire,58,64,58,80,80
Typhlosion,Fire,78,84,78,100,109
Totodile,Water,50,65,64,43,44
Croconaw,Water,65,80,80,58,59
Feraligatr,Water,85,105,100,78,79
Sentret,Normal,35,46,34,20,35
Furret,Normal,85,76,64,90,45
Hoothoot,Normal,60,30,30,50,36
Noctowl,Normal,100,50,50,70,76
Ledyba,Bug,40,20,30,55,40
Ledian,Bug,55,35,50,85,55
Spinarak,Bug,40,60,40,30,40
Ariados,Bug,70,90,70,40,60
Crobat,Poison,85,90,80,130,70
Chinchou,Water,75,38,38,67,56
Lanturn,Water,125,58,58,67,76
Pichu,Electric,20,40,15,60,35
Cleffa,Fairy,50,25,28,15,45
Igglybuff,Normal,90,30,15,15,40
Togepi,Fairy,35,20,65,20,40
Togetic,Fairy,55,40,85,40,80
Natu,Psychic,40,50,45,70,70
Xatu,Psychic,65,75,70,95,95
Mareep,Electric,55,40,40,35,65
Flaaffy,Electric,70,55,55,45,80
Ampharos,Electric,90,75,85,55,115
AmpharosMega Ampharos,Electric,90,95,105,45,165
Bellossom,Grass,75,80,95,50,90
Marill,Water,70,20,50,40,20
Azumarill,Water,100,50,80,50,60
Sudowoodo,Rock,70,100,115,30,30
Politoed,Water,90,75,75,70,90
Hoppip,Grass,35,35,40,50,35
Skiploom,Grass,55,45,50,80,45
Jumpluff,Grass,75,55,70,110,55
Aipom,Normal,55,70,55,85,40
Sunkern,Grass,30,30,30,30,30
Sunflora,Grass,75,75,55,30,105
Yanma,Bug,65,65,45,95,75
Wooper,Water,55,45,45,15,25
Quagsire,Water,95,85,85,35,65
Espeon,Psychic,65,65,60,110,130
Umbreon,Dark,95,65,110,65,60
Murkrow,Dark,60,85,42,91,85
Slowking,Water,95,75,80,30,100
Misdreavus,Ghost,60,60,60,85,85
Unown,Psychic,48,72,48,48,72
Wobbuffet,Psychic,190,33,58,33,33
Girafarig,Normal,70,80,65,85,90
Pineco,Bug,50,65,90,15,35
Forretress,Bug,75,90,140,40,60
Dunsparce,Normal,100,70,70,45,65
Gligar,Ground,65,75,105,85,35
Steelix,Steel,75,85,200,30,55
SteelixMega Steelix,Steel,75,125,230,30,55
Snubbull,Fairy,60,80,50,30,40
Granbull,Fairy,90,120,75,45,60
Qwilfish,Water,65,95,75,85,55
Scizor,Bug,70,130,100,65,55
ScizorMega Scizor,Bug,70,150,140,75,65
Shuckle,Bug,20,10,230,5,10
Heracross,Bug,80,125,75,85,40
HeracrossMega Heracross,Bug,80,185,115,75,40
Sneasel,Dark,55,95,55,115,35
Teddiursa,Normal,60,80,50,40,50
Ursaring,Normal,90,130,75,55,75
Slugma,Fire,40,40,40,20,70
Magcargo,Fire,50,50,120,30,80
Swinub,Ice,50,50,40,50,30
Piloswine,Ice,100,100,80,50,60
Corsola,Water,55,55,85,35,65
Remoraid,Water,35,65,35,65,65
Octillery,Water,75,105,75,45,105
Delibird,Ice,45,55,45,75,65
Mantine,Water,65,40,70,70,80
Skarmory,Steel,65,80,140,70,40
Houndour,Dark,45,60,30,65,80
Houndoom,Dark,75,90,50,95,110
HoundoomMega Houndoom,Dark,75,90,90,115,140
Kingdra,Water,75,95,95,85,95
Phanpy,Ground,90,60,60,40,40
Donphan,Ground,90,120,120,50,60
Porygon2,Normal,85,80,90,60,105
Stantler,Normal,73,95,62,85,85
Smeargle,Normal,55,20,35,75,20
Tyrogue,Fighting,35,35,35,35,35
Hitmontop,Fighting,50,95,95,70,35
Smoochum,Ice,45,30,15,65,85
Elekid,Electric,45,63,37,95,65
Magby,Fire,45,75,37,83,70
Miltank,Normal,95,80,105,100,40
Blissey,Normal,255,10,10,55,75
Raikou,Electric,90,85,75,115,115
Entei,Fire,115,115,85,100,90
Suicune,Water,100,75,115,85,90
Larvitar,Rock,50,64,50,41,45
Pupitar,Rock,70,84,70,51,65
Tyranitar,Rock,100,134,110,61,95
TyranitarMega Tyranitar,Rock,100,164,150,71,95
Lugia,Psychic,106,90,130,110,90
Ho-oh,Fire,106,130,90,90,110
Celebi,Psychic,100,100,100,100,100
Treecko,Grass,40,45,35,70,65
Grovyle,Grass,50,65,45,95,85
Sceptile,Grass,70,85,65,120,105
SceptileMega Sceptile,Grass,70,110,75,145,145
Torchic,Fire,45,60,40,45,70
Combusken,Fire,60,85,60,55,85
Blaziken,Fire,80,120,70,80,110
BlazikenMega Blaziken,Fire,80,160,80,100,130
Mudkip,Water,50,70,50,40,50
Marshtomp,Water,70,85,70,50,60
Swampert,Water,100,110,90,60,85
SwampertMega Swampert,Water,100,150,110,70,95
Poochyena,Dark,35,55,35,35,30
Mightyena,Dark,70,90,70,70,60
Zigzagoon,Normal,38,30,41,60,30
Linoone,Normal,78,70,61,100,50
Wurmple,Bug,45,45,35,20,20
Silcoon,Bug,50,35,55,15,25
Beautifly,Bug,60,70,50,65,100
Cascoon,Bug,50,35,55,15,25
Dustox,Bug,60,50,70,65,50
Lotad,Water,40,30,30,30,40
Lombre,Water,60,50,50,50,60
Ludicolo,Water,80,70,70,70,90
Seedot,Grass,40,40,50,30,30
Nuzleaf,Grass,70,70,40,60,60
Shiftry,Grass,90,100,60,80,90
Taillow,Normal,40,55,30,85,30
Swellow,Normal,60,85,60,125,50
Wingull,Water,40,30,30,85,55
Pelipper,Water,60,50,100,65,85
Ralts,Psychic,28,25,25,40,45
Kirlia,Psychic,38,35,35,50,65
Gardevoir,Psychic,68,65,65,80,125
GardevoirMega Gardevoir,Psychic,68,85,65,100,165
Surskit,Bug,40,30,32,65,50
Masquerain,Bug,70,60,62,60,80
Shroomish,Grass,60,40,60,35,40
Breloom,Grass,60,130,80,70,60
Slakoth,Normal,60,60,60,30,35
Vigoroth,Normal,80,80,80,90,55
Slaking,Normal,150,160,100,100,95
Nincada,Bug,31,45,90,40,30
Ninjask,Bug,61,90,45,160,50
Shedinja,Bug,1,90,45,40,30
Whismur,Normal,64,51,23,28,51
Loudred,Normal,84,71,43,48,71
Exploud,Normal,104,91,63,68,91
Makuhita,Fighting,72,60,30,25,20
Hariyama,Fighting,144,120,60,50,40
Azurill,Normal,50,20,40,20,20
Nosepass,Rock,30,45,135,30,45
Skitty,Normal,50,45,45,50,35
Delcatty,Normal,70,65,65,70,55
Sableye,Dark,50,75,75,50,65
SableyeMega Sableye,Dark,50,85,125,20,85
Mawile,Steel,50,85,85,50,55
MawileMega Mawile,Steel,50,105,125,50,55
Aron,Steel,50,70,100,30,40
Lairon,Steel,60,90,140,40,50
Aggron,Steel,70,110,180,50,60
AggronMega Aggron,Steel,70,140,230,50,60
Meditite,Fighting,30,40,55,60,40
Medicham,Fighting,60,60,75,80,60
MedichamMega Medicham,Fighting,60,100,85,100,80
Electrike,Electric,40,45,40,65,65
Manectric,Electric,70,75,60,105,105
ManectricMega Manectric,Electric,70,75,80,135,135
Plusle,Electric,60,50,40,95,85
Minun,Electric,60,40,50,95,75
Volbeat,Bug,65,73,55,85,47
Illumise,Bug,65,47,55,85,73
Roselia,Grass,50,60,45,65,100
Gulpin,Poison,70,43,53,40,43
Swalot,Poison,100,73,83,55,73
Carvanha,Water,45,90,20,65,65
Sharpedo,Water,70,120,40,95,95
